2026-05-16 22:00:01 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Defining geographic areas of the Alpine National Park'
2026-05-16 22:01:49 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 4 for community 'Compilations and Editions of Roald Dahl's Short Stories'
2026-05-16 22:01:49 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Compilations and Editions of Roald Dahl's Short Stories' (id=community_l2_309165aca2084ee78d3c0050d31b98c0, 4 members)
2026-05-16 22:01:49 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4755/5423 (1 members)
2026-05-16 22:01:49 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4755/5423: singleton entity cluster (roald dahl)
2026-05-16 22:01:49 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4756/5423 (1 members)
2026-05-16 22:01:49 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4756/5423: singleton entity cluster (october 2006)
2026-05-16 22:01:49 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4757/5423 (1 members)
2026-05-16 22:01:49 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4757/5423: singleton entity cluster (everyman library)
2026-05-16 22:01:49 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4758/5423 (2 members)
2026-05-16 22:02:20 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Chronological Ordering of Roald Dahl's Stories' id=community_l2_8ea978aff876480083e500881102088b
2026-05-16 22:02:20 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Chronological Ordering of Roald Dahl's Stories'
2026-05-16 22:02:20 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Chronological Ordering of Roald Dahl's Stories' (id=community_l2_8ea978aff876480083e500881102088b, 2 members)
2026-05-16 22:02:20 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4759/5423 (1 members)
2026-05-16 22:02:20 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4759/5423: singleton entity cluster ("more tales of the unexpected")
2026-05-16 22:02:20 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4760/5423 (1 members)
2026-05-16 22:02:20 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4760/5423: singleton entity cluster (tales of the unexpected)
2026-05-16 22:02:20 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4761/5423 (2 members)
2026-05-16 22:03:00 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Collections of Roald Dahl Short Stories from the 1960s' id=community_l2_bc2573c1e9624ee5b363f125cbd3f182
2026-05-16 22:03:00 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Collections of Roald Dahl Short Stories from the 1960s'
2026-05-16 22:03:00 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Collections of Roald Dahl Short Stories from the 1960s' (id=community_l2_bc2573c1e9624ee5b363f125cbd3f182, 2 members)
2026-05-16 22:03:00 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4762/5423 (1 members)
2026-05-16 22:03:00 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4762/5423: singleton entity cluster (ppo poo face)
2026-05-16 22:03:00 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4763/5423 (1 members)
2026-05-16 22:03:00 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4763/5423: singleton entity cluster (unnamed work (1989))
2026-05-16 22:03:00 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4764/5423 (1 members)
2026-05-16 22:03:00 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4764/5423: singleton entity cluster (13 september 1916 – 23 november 1990)
2026-05-16 22:03:00 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4765/5423 (1 members)
2026-05-16 22:03:00 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4765/5423: singleton entity cluster (fighter pilot)
2026-05-16 22:03:00 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4766/5423 (1 members)
2026-05-16 22:03:00 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4766/5423: singleton entity cluster (250 million copies)
2026-05-16 22:03:00 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4767/5423 (2 members)
2026-05-16 22:03:38 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Roald Dahl's Collected Short Story Works' id=community_l2_4bab04f8408d49dbb40972a3f34aab45
2026-05-16 22:03:38 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Roald Dahl's Collected Short Story Works'
2026-05-16 22:03:38 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Roald Dahl's Collected Short Story Works' (id=community_l2_4bab04f8408d49dbb40972a3f34aab45, 2 members)
2026-05-16 22:03:38 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4768/5423 (3 members)
2026-05-16 22:04:10 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'A Specific Landmark Within a Street in Aylesbury' id=community_l2_a73f6b29a2b44d31a080a64215278244
2026-05-16 22:04:10 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 3 for community 'A Specific Landmark Within a Street in Aylesbury'
2026-05-16 22:04:10 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'A Specific Landmark Within a Street in Aylesbury' (id=community_l2_a73f6b29a2b44d31a080a64215278244, 3 members)
2026-05-16 22:04:10 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4769/5423 (1 members)
2026-05-16 22:04:10 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4769/5423: singleton entity cluster (buckinghamshire)
2026-05-16 22:04:10 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4770/5423 (1 members)
2026-05-16 22:04:10 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4770/5423: singleton entity cluster (terence hardiman)
2026-05-16 22:04:10 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4771/5423 (1 members)
2026-05-16 22:04:10 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4771/5423: singleton entity cluster (the demon headmaster)
2026-05-16 22:04:10 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4772/5423 (1 members)
2026-05-16 22:04:10 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4772/5423: singleton entity cluster (23 november 1996)
2026-05-16 22:04:10 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4773/5423 (1 members)
2026-05-16 22:04:10 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4773/5423: singleton entity cluster (coach-house)
2026-05-16 22:04:10 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4774/5423 (2 members)
2026-05-16 22:04:38 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Annotated Bibliographies' id=community_l2_ea84c7f6887840b4b23e60164ccd7cf3
2026-05-16 22:04:39 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Annotated Bibliographies'
2026-05-16 22:04:39 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Annotated Bibliographies' (id=community_l2_ea84c7f6887840b4b23e60164ccd7cf3, 2 members)
2026-05-16 22:04:39 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4775/5423 (3 members)
2026-05-16 22:05:15 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Cardiff's Coastal Public Spaces' id=community_l2_049b402648514794a99db09da4696e7c
2026-05-16 22:05:15 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 3 for community 'Cardiff's Coastal Public Spaces'
2026-05-16 22:05:15 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Cardiff's Coastal Public Spaces' (id=community_l2_049b402648514794a99db09da4696e7c, 3 members)
2026-05-16 22:05:15 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4776/5423 (1 members)
2026-05-16 22:05:15 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4776/5423: singleton entity cluster (wales)
2026-05-16 22:05:15 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4777/5423 (1 members)
2026-05-16 22:05:15 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4777/5423: singleton entity cluster (senedd (welsh assembly building))
2026-05-16 22:05:15 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4778/5423 (1 members)
2026-05-16 22:05:15 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4778/5423: singleton entity cluster (wales millennium centre)
2026-05-16 22:05:15 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4779/5423 (3 members)
2026-05-16 22:05:49 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Publication Details for a Roald Dahl Short Story' id=community_l2_5070ade052294b3481e1a1ed9914c7dc
2026-05-16 22:05:49 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 3 for community 'Publication Details for a Roald Dahl Short Story'
2026-05-16 22:05:49 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Publication Details for a Roald Dahl Short Story' (id=community_l2_5070ade052294b3481e1a1ed9914c7dc, 3 members)
2026-05-16 22:05:49 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4780/5423 (2 members)
2026-05-16 22:06:26 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Secret Objects of an Illicit Affair' id=community_l2_a4940c71b8c24b378b43d73e483766f9
2026-05-16 22:06:26 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Secret Objects of an Illicit Affair'
2026-05-16 22:06:26 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Secret Objects of an Illicit Affair' (id=community_l2_a4940c71b8c24b378b43d73e483766f9, 2 members)
2026-05-16 22:06:26 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4781/5423 (1 members)
2026-05-16 22:06:26 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4781/5423: singleton entity cluster (man (the lover))
2026-05-16 22:06:26 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4782/5423 (1 members)
2026-05-16 22:06:26 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4782/5423: singleton entity cluster (husband)
2026-05-16 22:06:26 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4783/5423 (1 members)
2026-05-16 22:06:26 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4783/5423: singleton entity cluster (home)
2026-05-16 22:06:26 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4784/5423 (2 members)
2026-05-16 22:06:55 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Publishing of Roald Dahl's Literary Anthologies' id=community_l2_b6c355f2b7dd402cbe7dc4992ac033b3
2026-05-16 22:06:55 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Publishing of Roald Dahl's Literary Anthologies'
2026-05-16 22:06:55 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Publishing of Roald Dahl's Literary Anthologies' (id=community_l2_b6c355f2b7dd402cbe7dc4992ac033b3, 2 members)
2026-05-16 22:06:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4785/5423 (5 members)
2026-05-16 22:07:35 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Adaptations and Ownership Structure of the Willy Wonka Musical' id=community_l2_4d66a091b073488d9359382c2a822c2c
2026-05-16 22:07:35 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 5 for community 'Adaptations and Ownership Structure of the Willy Wonka Musical'
2026-05-16 22:07:35 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Adaptations and Ownership Structure of the Willy Wonka Musical' (id=community_l2_4d66a091b073488d9359382c2a822c2c, 5 members)
2026-05-16 22:07:35 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4786/5423 (1 members)
2026-05-16 22:07:35 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4786/5423: singleton entity cluster (charlie and the chocolate factory)
2026-05-16 22:07:35 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4787/5423 (1 members)
2026-05-16 22:07:35 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4787/5423: singleton entity cluster (willy wonka & the chocolate factory (1971))
2026-05-16 22:07:35 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4788/5423 (1 members)
2026-05-16 22:07:35 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4788/5423: singleton entity cluster (original version)
2026-05-16 22:07:35 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4789/5423 (3 members)
2026-05-16 22:08:15 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'South African Pioneer Achievement in Film and Architecture' id=community_l2_bf5777e78c15446286082ae7aa43c17b
2026-05-16 22:08:15 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 3 for community 'South African Pioneer Achievement in Film and Architecture'
2026-05-16 22:08:15 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'South African Pioneer Achievement in Film and Architecture' (id=community_l2_bf5777e78c15446286082ae7aa43c17b, 3 members)
2026-05-16 22:08:15 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4790/5423 (1 members)
2026-05-16 22:08:15 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4790/5423: singleton entity cluster (bloemfontein)
2026-05-16 22:08:15 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4791/5423 (3 members)
2026-05-16 22:08:48 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Architectural Achievement Recognized at the Apartheid Museum' id=community_l2_56e778bf0255427e8ae0d7aab5722803
2026-05-16 22:08:48 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 3 for community 'Architectural Achievement Recognized at the Apartheid Museum'
2026-05-16 22:08:48 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Architectural Achievement Recognized at the Apartheid Museum' (id=community_l2_56e778bf0255427e8ae0d7aab5722803, 3 members)
2026-05-16 22:08:48 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4792/5423 (1 members)
2026-05-16 22:08:48 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4792/5423: singleton entity cluster (a world apart)
2026-05-16 22:08:48 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4793/5423 (1 members)
2026-05-16 22:08:48 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4793/5423: singleton entity cluster (chris menges)
2026-05-16 22:08:48 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4794/5423 (1 members)
2026-05-16 22:08:48 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4794/5423: singleton entity cluster (award for best actress)
2026-05-16 22:08:48 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4795/5423 (2 members)
2026-05-16 22:09:22 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Production Roles for the Film Second Best' id=community_l2_9a20edf2ff834ddf872498a3539ef0e3
2026-05-16 22:09:22 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Production Roles for the Film Second Best'
2026-05-16 22:09:22 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Production Roles for the Film Second Best' (id=community_l2_9a20edf2ff834ddf872498a3539ef0e3, 2 members)
2026-05-16 22:09:22 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4796/5423 (2 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'The Author and His Literary Work' id=community_l2_f10016c42bc240b28f071e32f1bf9cd2
2026-05-16 22:09:55 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'The Author and His Literary Work'
2026-05-16 22:09:55 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'The Author and His Literary Work' (id=community_l2_f10016c42bc240b28f071e32f1bf9cd2, 2 members)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4797/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4797/5423: singleton entity cluster (11 harrowhouse)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4798/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4798/5423: singleton entity cluster (aram avakian)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4799/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4799/5423: singleton entity cluster (charles grodin)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4800/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4800/5423: singleton entity cluster (gerald a. browne)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4801/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4801/5423: singleton entity cluster (jeffrey bloom)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4802/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4802/5423: singleton entity cluster (candice bergen)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4803/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4803/5423: singleton entity cluster (james mason)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4804/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4804/5423: singleton entity cluster (trevor howard)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4805/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4805/5423: singleton entity cluster (john gielgud)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4806/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4806/5423: singleton entity cluster (end of the road)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4807/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4807/5423: singleton entity cluster (john barth)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4808/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4808/5423: singleton entity cluster (source novel)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4809/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4809/5423: singleton entity cluster (stacy keach)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4810/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4810/5423: singleton entity cluster (james earl jones)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4811/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4811/5423: singleton entity cluster (harris yulin)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4812/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4812/5423: singleton entity cluster (bsc, asc)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4813/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4813/5423: singleton entity cluster (15 september 1940)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4814/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4814/5423: singleton entity cluster (cinematographer)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4815/5423 (1 members)
2026-05-16 22:09:55 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4815/5423: singleton entity cluster (film director)
2026-05-16 22:09:55 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4816/5423 (2 members)
2026-05-16 22:10:20 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Professional Cinematography Societies for Global Filmmakers' id=community_l2_949ef4f1a2ff4e03ac4da5bd8c0fa755
2026-05-16 22:10:20 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Professional Cinematography Societies for Global Filmmakers'
2026-05-16 22:10:20 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Professional Cinematography Societies for Global Filmmakers' (id=community_l2_949ef4f1a2ff4e03ac4da5bd8c0fa755, 2 members)
2026-05-16 22:10:20 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4817/5423 (1 members)
2026-05-16 22:10:20 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4817/5423: singleton entity cluster (anti-apartheid drama)
2026-05-16 22:10:20 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4818/5423 (3 members)
2026-05-16 22:10:59 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'The Slovo Family Lineage Depicted in *A World Apart*' id=community_l2_ea8f913fb3fd4512b17b93860a2aa262
2026-05-16 22:10:59 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 3 for community 'The Slovo Family Lineage Depicted in *A World Apart*'
2026-05-16 22:10:59 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'The Slovo Family Lineage Depicted in *A World Apart*' (id=community_l2_ea8f913fb3fd4512b17b93860a2aa262, 3 members)
2026-05-16 22:10:59 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4819/5423 (1 members)
2026-05-16 22:10:59 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4819/5423: singleton entity cluster (zimbabwe)
2026-05-16 22:10:59 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4820/5423 (2 members)
2026-05-16 22:11:32 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Hans Zimmer's composition of a non-collaborative film score' id=community_l2_58cd8883cc22438fb262146d169a2ddb
2026-05-16 22:11:32 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Hans Zimmer's composition of a non-collaborative film score'
2026-05-16 22:11:32 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Hans Zimmer's composition of a non-collaborative film score' (id=community_l2_58cd8883cc22438fb262146d169a2ddb, 2 members)
2026-05-16 22:11:32 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4821/5423 (1 members)
2026-05-16 22:11:32 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 4821/5423: singleton entity cluster (cops and robbers)
2026-05-16 22:11:32 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 4822/5423 (1 members)
