2026-05-13 03:37:59 | GraphService | INFO | [Graph] Relationship created: (secretary of state for constitutional affairs)-[was_a_position_within]->(british government)
2026-05-14 01:56:28 | GraphService | INFO | [Graph] Relationship created: (giuseppe verdi (film))-[portrays_the_life_of]->(giuseppe verdi (composer))
2026-05-14 01:56:28 | GraphService | INFO | [Graph] Relationship created: (fosco giachetti)-[was_cast_as]->(giuseppe verdi (composer))
2026-05-14 01:56:28 | GraphService | INFO | [Graph] Relationship created: (giuseppe verdi (composer))-[previously_starred_in]->(the white squadron)
2026-05-14 01:56:28 | GraphService | INFO | [Graph] Relationship created: (giuseppe verdi (film))-[was_made_at]->(cinecittà studios)
2026-05-14 01:56:29 | GraphService | INFO | [Graph] Relationship created: (cinecittà studios)-[is_located_in]->(rome)
2026-05-14 01:56:29 | GraphService | INFO | [Graph] Relationship created: (giuseppe verdi (film))-[has_an_alternative_title]->(the life of giuseppe verdi)
2026-05-14 01:59:34 | GraphService | INFO | [Graph] Relationship created: (armand castelmary)-[has_the_real_name]->(comte armand de castan)
2026-05-14 01:59:34 | GraphService | INFO | [Graph] Relationship created: (comte armand de castan)-[was_born_in]->(toulouse)
2026-05-14 02:01:48 | GraphService | INFO | [Graph] Relationship created: (list of major opera composers)-[provides_a_guide_to]->(opera composers)
2026-05-14 02:01:48 | GraphService | INFO | [Graph] Relationship created: (jacopo peri)-[wrote]->(first ever opera)
2026-05-14 02:01:48 | GraphService | INFO | [Graph] Relationship created: (first ever opera)-[was_written_in]->(late 16th century italy)
2026-05-14 02:01:48 | GraphService | INFO | [Graph] Relationship created: (john adams)-[is_a_leading_figure_in]->(contemporary operatic world)
2026-05-14 02:01:48 | GraphService | INFO | [Graph] Relationship created: (list of major opera composers)-[includes_explanatory_information_via]->(brief accompanying notes)
2026-05-14 02:01:48 | GraphService | INFO | [Graph] Relationship created: (list of major opera composers)-[includes_a_section_about]->(major women opera composers)
2026-05-14 02:01:48 | GraphService | INFO | [Graph] Relationship created: (list of major opera composers)-[is_organized_by]->(birthdate)
2026-05-14 02:04:48 | GraphService | INFO | [Graph] Relationship created: (2014 bahrain grand prix)-[was_held_on]->(6 april)
2026-05-14 02:04:48 | GraphService | INFO | [Graph] Relationship created: (2014 bahrain grand prix)-[took_place_at]->(bahrain international circuit)
2026-05-14 02:04:48 | GraphService | INFO | [Graph] Relationship created: (bahrain international circuit)-[is_located_in]->(sakhir, bahrain)
2026-05-14 02:04:49 | GraphService | INFO | [Graph] Relationship created: (2014 bahrain grand prix)-[was_a_part]->(third round of the 2014 formula one season)
2026-05-14 02:04:49 | GraphService | INFO | [Graph] Relationship created: (2014 bahrain grand prix)-[was_designated_as]->(900th formula one world championship event)
2026-05-14 02:04:49 | GraphService | INFO | [Graph] Relationship created: (lewis hamilton)-[is_a_driver_for]->(mercedes)
2026-05-14 02:04:49 | GraphService | INFO | [Graph] Relationship created: (nico rosberg)-[is_a_teammate_of]->(lewis hamilton)
2026-05-14 02:04:49 | GraphService | INFO | [Graph] Relationship created: (sergio pérez)-[is_a_driver_for]->(force india)
2026-05-14 02:04:49 | GraphService | INFO | [Graph] Relationship created: (lewis hamilton)-[won_the]->(57-lap race)
2026-05-14 02:07:52 | GraphService | INFO | [Graph] Relationship created: (tigger)-[is_personal_anthem_of]->(the wonderful thing about tiggers)
2026-05-14 02:07:52 | GraphService | INFO | [Graph] Relationship created: (tigger)-[is_a_character_from_series]->(winnie-the-pooh)
2026-05-14 02:07:52 | GraphService | INFO | [Graph] Relationship created: (winnie-the-pooh)-[includes_work]->(the house at pooh corner)
2026-05-14 02:07:52 | GraphService | INFO | [Graph] Relationship created: (october 1928)-[is_believed_to_be_tiggers_birthday]->(tigger)
2026-05-14 02:07:52 | GraphService | INFO | [Graph] Relationship created: (disney)-[used_the_year_for_tiggers_belief_birthday_reference]->(october 1928)
2026-05-14 02:07:52 | GraphService | INFO | [Graph] Relationship created: (disney)-[indicates_tiggers_birth_year_as_1968_on_merchandise]->(tigger)
2026-05-14 02:07:52 | GraphService | INFO | [Graph] Relationship created: (tigger)-[first_appeared_in]->(winnie pooh and the blustery day)
2026-05-14 02:07:52 | GraphService | INFO | [Graph] Relationship created: (winnie pooh and the blustery day)-[was_first_time_tigger_sang_song_in]->(the wonderful thing about tiggers)
2026-05-14 02:07:52 | GraphService | INFO | [Graph] Relationship created: (the wonderful thing about tiggers)-[earned_a_grammy_for_rendition_in_1974]->(paul winchell)
2026-05-14 02:07:52 | GraphService | INFO | [Graph] Relationship created: (the wonderful thing about tiggers)-[was_repeated_in_1974]->(winnie pooh and tigger too!)
2026-05-14 02:07:52 | GraphService | INFO | [Graph] Relationship created: (the wonderful thing about tiggers)-[was_repeated_in_1974]->(the many adventures of winnie the pooh ride)
2026-05-14 02:07:52 | GraphService | INFO | [Graph] Relationship created: (the wonderful thing about tiggers)-[was_repeated_in_1977]->(the many adventures of winnie the pooh)
2026-05-14 02:07:52 | GraphService | INFO | [Graph] Relationship created: (the wonderful thing about tiggers)-[opened_up_2000]->(the tigger movie)
2026-05-14 02:10:55 | GraphService | INFO | [Graph] Relationship created: (winnie the pooh and the blustery day)-[is_based_on_chapters_from]->(winnie-the-pooh)
2026-05-14 02:10:55 | GraphService | INFO | [Graph] Relationship created: (winnie the pooh and the blustery day)-[is_based_on_chapters_from]->(the house at pooh corner)
2026-05-14 02:10:55 | GraphService | INFO | [Graph] Relationship created: (winnie-the-pooh)-[was_written_by]->(a. a. milne)
2026-05-14 02:10:55 | GraphService | INFO | [Graph] Relationship created: (the house at pooh corner)-[was_written_by]->(a. a. milne)
2026-05-14 02:10:55 | GraphService | INFO | [Graph] Relationship created: (winnie the pooh and the blustery day)-[was_produced_by]->(walt disney productions)
2026-05-14 02:10:55 | GraphService | INFO | [Graph] Relationship created: (winnie the pooh and the blustery day)-[was_released_by]->(buena vista distribution company)
2026-05-14 02:13:57 | GraphService | INFO | [Graph] Relationship created: (netsupport manager)-[is_designed_to_operate_from]->(windows)
2026-05-14 02:13:57 | GraphService | INFO | [Graph] Relationship created: (netsupport manager)-[is_designed_to_operate_from]->(windows mobile)
2026-05-14 02:19:29 | GraphService | INFO | [Graph] Relationship created: (iffhs world's best club coach)-[is_an_for]->(association football award)
2026-05-14 02:19:29 | GraphService | INFO | [Graph] Relationship created: (iffhs world's best club coach)-[is_given]->(annual)
2026-05-14 02:19:29 | GraphService | INFO | [Graph] Relationship created: (iffhs world's best club coach)-[has_been_given_since]->(1996)
2026-05-14 02:19:29 | GraphService | INFO | [Graph] Relationship created: (iffhs world's best club coach)-[is_given_to_the_most_outstanding]->(club coach)
2026-05-14 02:19:29 | GraphService | INFO | [Graph] Relationship created: (iffhs world's best club coach)-[is_voted_by]->(international federation of football history & statistics (iffhs))
2026-05-14 02:19:29 | GraphService | INFO | [Graph] Relationship created: (votes)-[are_castawarded_by]->(international federation of football history & statistics (iffhs))
2026-05-14 02:19:29 | GraphService | INFO | [Graph] Relationship created: (votes)-[were_cast_by_in_1996]->(iffhs's editorial staff)
2026-05-14 02:19:29 | GraphService | INFO | [Graph] Relationship created: (votes)-[were_cast_by_in_1996]->(experts from 89 countries)
2026-05-14 02:19:29 | GraphService | INFO | [Graph] Relationship created: (iffhs world's best club coach)-[is_determined_by_the_casting_of]->(votes)
2026-05-14 02:19:29 | GraphService | INFO | [Graph] Relationship created: (votes)-[are_now_awarded_by]->(81 experts)
2026-05-14 02:32:06 | GraphService | INFO | [Graph] Relationship created: (2014–15 vcu rams men's basketball team)-[represented]->(virginia commonwealth university)
2026-05-14 02:32:06 | GraphService | INFO | [Graph] Relationship created: (virginia commonwealth university)-[had_a_program_for]->(47th season)
2026-05-14 02:35:12 | GraphService | INFO | [Graph] Relationship created: (2004–05 vcu rams men's basketball team)-[represented]->(virginia commonwealth university)
2026-05-14 02:35:12 | GraphService | INFO | [Graph] Relationship created: (2004–05 vcu rams men's basketball team)-[occurred_during]->(2004–05 ncaa division i men's basketball season)
2026-05-14 02:35:12 | GraphService | INFO | [Graph] Relationship created: (2004–05 vcu rams men's basketball team)-[was_a_member_of]->(atlantic 10 conference)
2026-05-14 02:35:12 | GraphService | INFO | [Graph] Relationship created: (2004–05 vcu rams men's basketball team)-[played_home_games_at]->(stuart c. siegel center)
2026-05-14 02:35:12 | GraphService | INFO | [Graph] Relationship created: (jeff capel iii)-[coached_as_head_coach]->(2004–05 vcu rams men's basketball team)
2026-05-14 02:35:12 | GraphService | INFO | [Graph] Relationship created: (2004–05 vcu rams men's basketball team)-[finished_with_a_record_of_135_in]->(caa play)
2026-05-14 02:35:12 | GraphService | INFO | [Graph] Relationship created: (2004–05 vcu rams men's basketball team)-[defeated_in_the_caa_tournament]->(delaware)
2026-05-14 02:35:12 | GraphService | INFO | [Graph] Relationship created: (2004–05 vcu rams men's basketball team)-[defeated_in_the_caa_tournament]->(unc wilmington)
2026-05-14 02:35:12 | GraphService | INFO | [Graph] Relationship created: (2004–05 vcu rams men's basketball team)-[lost_to_in_the_final]->(old dominion)
2026-05-14 02:35:12 | GraphService | INFO | [Graph] Relationship created: (2004–05 vcu rams men's basketball team)-[received_an_atlarge_bid_to]->(nit)
2026-05-14 02:38:16 | GraphService | INFO | [Graph] Relationship created: (dictyosperma)-[is_a_type_of]->(flowering plant)
2026-05-14 02:38:16 | GraphService | INFO | [Graph] Relationship created: (dictyosperma)-[belongs_to_the]->(palm family)
2026-05-14 02:38:16 | GraphService | INFO | [Graph] Relationship created: (dictyosperma)-[is_found_in]->(mascarene islands)
2026-05-14 02:38:16 | GraphService | INFO | [Graph] Relationship created: (indian ocean)-[contains]->(mascarene islands)
2026-05-14 02:38:16 | GraphService | INFO | [Graph] Relationship created: (dictyosperma album)-[is_widely_cultivated_in]->(tropics)
2026-05-14 02:38:16 | GraphService | INFO | [Graph] Relationship created: (dictyosperma)-[is_commonly_called]->(princess palm)
2026-05-14 02:38:16 | GraphService | INFO | [Graph] Relationship created: (dictyosperma)-[is_also_commonly_called]->(hurricane palm)
2026-05-14 02:38:16 | GraphService | INFO | [Graph] Relationship created: (dictyosperma)-[is_closely_related_to_and_resembles]->(archontophoenix)
2026-05-14 02:38:16 | GraphService | INFO | [Graph] Relationship created: (dictyosperma)-[relates_to]->(greek words meaning 'net' and 'seed')
2026-05-14 02:40:47 | GraphService | INFO | [Graph] Relationship created: (huernia)-[belongs_to_the_family]->(apocynaceae)
2026-05-14 02:40:47 | GraphService | INFO | [Graph] Relationship created: (huernia)-[belongs_to_the_subfamily]->(asclepiadoideae)
2026-05-14 02:40:47 | GraphService | INFO | [Graph] Relationship created: (huernia)-[consists_of_plants_from]->(eastern and southern africa)
2026-05-14 02:40:47 | GraphService | INFO | [Graph] Relationship created: (huernia)-[was_first_described_in]->(1810)
2026-05-14 02:40:47 | GraphService | INFO | [Graph] Relationship created: (huernia)-[is_considered_closely_related_to]->(stapelia)
2026-05-14 02:40:47 | GraphService | INFO | [Graph] Relationship created: (huernia)-[is_considered_closely_related_to]->(hoodia)
2026-05-14 02:40:47 | GraphService | INFO | [Graph] Relationship created: (huernia)-[attracts_by_scent]->(flies)
2026-05-14 02:40:47 | GraphService | INFO | [Graph] Relationship created: (huernia)-[is_named_in_honour_of]->(justin heurnius)
2026-05-14 02:40:47 | GraphService | INFO | [Graph] Relationship created: (justin heurnius)-[was_a_collector_of]->(south african cape plants)
2026-05-14 02:43:39 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser jr.)-[was_a_former_owner_of]->(denver broncos american football team)
2026-05-14 02:43:39 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser jr.)-[was_born_in]->(portland, oregon)
2026-05-14 02:43:39 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser jr.)-[is_the_grandson_of]->(henry j. kaiser)
2026-05-14 02:43:39 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser jr.)-[earned_a_ba_degree_from]->(stanford university)
2026-05-14 02:43:39 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser jr.)-[earned_an_mba_degree_from]->(harvard university)
2026-05-14 02:43:39 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser jr.)-[served_as]->(white house fellow)
2026-05-14 02:43:39 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser jr.)-[served_as_special_assistant_to]->(lyndon b. johnson)
2026-05-14 02:43:39 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser jr.)-[served_as_special_assistant_to]->(richard m. nixon)
2026-05-14 02:43:39 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser jr.)-[served_as_special_assistant_to]->(walter j. hickel)
2026-05-14 02:43:39 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser jr.)-[became_a_citizen_of_in_1980]->(canada)
2026-05-14 02:43:39 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser jr.)-[was_born_on]->(july 5, 1942)
2026-05-14 02:43:39 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser jr.)-[died_on]->(january 11, 2012)
2026-05-14 02:45:26 | GraphService | INFO | [Graph] Relationship created: (nutri ventures)-[is_a_tv_series_in]->(portuguese)
2026-05-14 02:45:26 | GraphService | INFO | [Graph] Relationship created: (nutri ventures corporation)-[produced]->(nutri ventures)
2026-05-14 02:45:26 | GraphService | INFO | [Graph] Relationship created: (nutri ventures)-[is_distributed_through]->(hulu kids)
2026-05-14 02:45:26 | GraphService | INFO | [Graph] Relationship created: (nutri ventures)-[has_an_alternative_name_of]->(nutri ventures – the quest for the 7 kingdoms)
2026-05-14 02:45:26 | GraphService | INFO | [Graph] Relationship created: (nutri ventures)-[has_a_portuguese_translation_of_its_title]->(nutri ventures - em busca dos 7 reinos)
2026-05-14 02:46:58 | GraphService | INFO | [Graph] Relationship created: (eagle mountain railroad (emrr))-[was_located_in]->(california)
2026-05-14 02:46:58 | GraphService | INFO | [Graph] Relationship created: (kaiser steel corporation)-[owned]->(eagle mountain railroad (emrr))
2026-05-14 02:46:58 | GraphService | INFO | [Graph] Relationship created: (kaiser ventures, inc.)-[currently_owns]->(eagle mountain railroad (emrr))
2026-05-14 02:46:58 | GraphService | INFO | [Graph] Relationship created: (kaiser ventures, inc.)-[succeeded]->(kaiser steel corporation)
2026-05-14 02:46:58 | GraphService | INFO | [Graph] Relationship created: (kaiser ventures, inc.)-[is_located_in]->(ontario)
2026-05-14 02:46:58 | GraphService | INFO | [Graph] Relationship created: (ontario)-[is_a_location_within]->(california)
2026-05-14 02:49:37 | GraphService | INFO | [Graph] Relationship created: (neafie & levy)-[was_a_firm_located_in]->(philadelphia)
2026-05-14 02:49:37 | GraphService | INFO | [Graph] Relationship created: (neafie & levy)-[existed_during]->(middle/early 19th to early 20th century)
2026-05-14 02:49:37 | GraphService | INFO | [Graph] Relationship created: (neafie & levy)-[was_described_as_americas_first_specialist_marine_engineers]->(america)
2026-05-14 02:49:37 | GraphService | INFO | [Graph] Relationship created: (neafie & levy)-[was_the_first_company_in]->(united states)
2026-05-14 02:49:37 | GraphService | INFO | [Graph] Relationship created: (neafie & levy)-[combined_building_with]->(iron ships)
2026-05-14 02:49:37 | GraphService | INFO | [Graph] Relationship created: (neafie & levy)-[combined_manufacture_with]->(steam engines)
2026-05-14 02:49:37 | GraphService | INFO | [Graph] Relationship created: (neafie & levy)-[was_the_largest_supplier_to]->(screw propellers)
2026-05-14 02:49:37 | GraphService | INFO | [Graph] Relationship created: (screw propellers)-[were_supplied_by_neafie_levy_to]->(north american shipbuilding firms)
2026-05-14 02:49:37 | GraphService | DEBUG | [Bi-Temporal] 'was_a_firm_located_in' has no evolution rules — creating 'was_busiest_in_during' as parallel edge (neafie & levy → philadelphia)
2026-05-14 02:49:37 | GraphService | INFO | [Graph] Relationship created_parallel: (neafie & levy)-[was_busiest_in_during]->(philadelphia)
2026-05-14 02:49:37 | GraphService | INFO | [Graph] Relationship created: (neafie & levy)-[reached_its_peak_in]->(early 1870s)
2026-05-14 03:04:38 | GraphService | INFO | [Graph] Relationship created: (kaiser ventures)-[was_founded_by]->(henry j. kaiser)
2026-05-14 03:04:38 | GraphService | INFO | [Graph] Relationship created: (kaiser ventures)-[is_headquartered_in]->(ontario, california)
2026-05-14 03:04:38 | GraphService | INFO | [Graph] Relationship created: (kaiser ventures)-[was_founded_to_provide_for_the]->(steel plate)
2026-05-14 03:04:38 | GraphService | INFO | [Graph] Relationship created: (pacific coast shipbuilding industry)-[expanded_during]->(world war ii)
2026-05-14 03:04:38 | GraphService | INFO | [Graph] Relationship created: (pacific coast shipbuilding industry)-[expanded_again_during]->(korean war)
2026-05-14 03:04:38 | GraphService | INFO | [Graph] Relationship created: (california shipbuilding corporation on terminal island, california)-[built_hundreds_of_in_world_war_ii]->(liberty ships)
2026-05-14 03:04:38 | GraphService | INFO | [Graph] Relationship created: (california shipbuilding corporation on terminal island, california)-[built_hundreds_of_in_world_war_ii]->(victory ships)
2026-05-14 03:04:38 | GraphService | INFO | [Graph] Relationship created: (california shipbuilding corporation on terminal island, california)-[relates_to]->(henry j. kaiser)
2026-05-14 03:07:44 | GraphService | INFO | [Graph] Relationship created: (henry john kaiser)-[was_an_industrialist_of]->(american)
2026-05-14 03:07:44 | GraphService | INFO | [Graph] Relationship created: (henry john kaiser)-[established]->(kaiser shipyards)
2026-05-14 03:07:44 | GraphService | INFO | [Graph] Relationship created: (kaiser shipyards)-[built]->(liberty ships)
2026-05-14 03:07:44 | GraphService | INFO | [Graph] Relationship created: (liberty ships)-[were_built_during]->(world war ii)
2026-05-14 03:07:44 | GraphService | INFO | [Graph] Relationship created: (henry john kaiser)-[formed_after]->(kaiser aluminum)
2026-05-14 03:07:44 | GraphService | INFO | [Graph] Relationship created: (henry john kaiser)-[formed_after]->(kaiser steel)
2026-05-14 03:07:44 | GraphService | INFO | [Graph] Relationship created: (henry john kaiser)-[organized_health_care_for]->(kaiser permanente)
2026-05-14 03:07:44 | GraphService | INFO | [Graph] Relationship created: (henry john kaiser)-[led]->(kaiser-frazer)
2026-05-14 03:07:44 | GraphService | INFO | [Graph] Relationship created: (henry john kaiser)-[led]->(kaiser motors)
2026-05-14 03:07:44 | GraphService | INFO | [Graph] Relationship created: (henry john kaiser)-[was_involved_in_construction_of]->(civic centers)
2026-05-14 03:07:44 | GraphService | INFO | [Graph] Relationship created: (henry john kaiser)-[was_involved_in_construction_of]->(dams)
2026-05-14 03:07:44 | GraphService | INFO | [Graph] Relationship created: (henry john kaiser)-[invested_in]->(real estate)
2026-05-14 03:07:44 | GraphService | INFO | [Graph] Relationship created: (henry john kaiser)-[established_with_his_wealth]->(kaiser family foundation)
2026-05-14 03:09:54 | GraphService | INFO | [Graph] Relationship created: (john roach)-[founded]->(john roach & sons)
2026-05-14 03:09:54 | GraphService | INFO | [Graph] Relationship created: (john roach & sons)-[was_a_major_firm_during]->(19th century)
2026-05-14 03:09:54 | GraphService | INFO | [Graph] Relationship created: (john roach & sons)-[was_founded_in]->(1864)
2026-05-14 03:09:54 | GraphService | INFO | [Graph] Relationship created: (john roach & sons)-[was_the_largest_shipbuilding_firm_during]->(1871–1885)
2026-05-14 03:09:54 | GraphService | INFO | [Graph] Relationship created: (john roach & sons)-[operated_within]->(united states)
2026-05-14 03:09:54 | GraphService | INFO | [Graph] Relationship created: (john roach & sons)-[built]->(iron ships)
2026-05-14 03:09:54 | GraphService | INFO | [Graph] Relationship created: (john roach & sons)-[was_the_largest_contractor_to]->(u.s. navy)
2026-05-14 03:09:54 | GraphService | INFO | [Graph] Relationship created: (john roach & sons)-[was_second_largest_employer_behind]->(railroads)
2026-05-14 03:12:26 | GraphService | INFO | [Graph] Relationship created: (new york shipbuilding corporation)-[was_an_company]->(american)
2026-05-14 03:12:26 | GraphService | INFO | [Graph] Relationship created: (new york shipbuilding corporation)-[operated_during]->(1899 to 1968)
2026-05-14 03:12:26 | GraphService | INFO | [Graph] Relationship created: (new york shipbuilding corporation)-[supplied_over_500_vessels_to]->(u.s. navy)
2026-05-14 03:12:26 | GraphService | INFO | [Graph] Relationship created: (new york shipbuilding corporation)-[supplied_over_500_vessels_to]->(united states merchant marine)
2026-05-14 03:12:26 | GraphService | INFO | [Graph] Relationship created: (new york shipbuilding corporation)-[supplied_over_500_vessels_to]->(united states coast guard)
2026-05-14 03:12:26 | GraphService | INFO | [Graph] Relationship created: (new york shipbuilding corporation)-[reached_its_peak_status_during]->(world war ii)
2026-05-14 03:12:26 | GraphService | INFO | [Graph] Relationship created: (new york shipbuilding corporation)-[produced_bestknown_vessels_including]->(destroyer)
2026-05-14 03:12:26 | GraphService | INFO | [Graph] Relationship created: (new york shipbuilding corporation)-[produced_bestknown_vessels_including]->(cruiser)
2026-05-14 03:12:26 | GraphService | INFO | [Graph] Relationship created: (new york shipbuilding corporation)-[produced_bestknown_vessels_including]->(aircraft carrier)
2026-05-14 03:12:26 | GraphService | INFO | [Graph] Relationship created: (new york shipbuilding corporation)-[produced_bestknown_vessels_including]->(ns "savannah")
2026-05-14 03:12:26 | GraphService | INFO | [Graph] Relationship created: (new york shipbuilding corporation)-[produced_bestknown_vessels_including]->(four aces)
2026-05-14 03:14:17 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser sr.)-[lived_during_the_period_of]->(july 29, 1908 – december 7, 1981)
2026-05-14 03:14:17 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser sr.)-[was_an_industrialist_from]->(american)
2026-05-14 03:14:17 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser sr.)-[held_the_title_of]->(chairman)
2026-05-14 03:14:17 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser sr.)-[served_as_chairman_of]->(kaiser aluminum and chemical corporation)
2026-05-14 03:14:17 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser sr.)-[served_as_chairman_of]->(kaiser cement corporation)
2026-05-14 03:14:17 | GraphService | INFO | [Graph] Relationship created: (edgar fosburgh kaiser sr.)-[served_as_chairman_of]->(kaiser steel corporation)
2026-05-14 03:15:41 | GraphService | INFO | [Graph] Relationship created: (st. andre vidhan sabha constituency)-[is_one_of_the_40_members_of]->(goa legislative assembly constituencies)
2026-05-14 03:15:41 | GraphService | INFO | [Graph] Relationship created: (goa)-[is_located_in]->(southern india)
